"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000292024";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200402";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AP";"03/01/2025";"02/01/2026";"03/01/2025";"02/01/2026";"-11";"Sigiloso";"292830,0000";"292830,0000";"900052024";"";"";"";""
"000522025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200402";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AP";"19/01/2026";"20/01/2026";"19/01/2026";"18/01/2027";"-11";"Sigiloso";"258190,6600";"258190,6600";"900152024";"";"";"";""
"000422025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200402";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AP";"16/12/2025";"13/01/2026";"17/12/2025";"16/12/2026";"-11";"Sigiloso";"16672,0000";"16672,0000";"900062024";"";"";"";""
"000542025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200402";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AP";"05/01/2026";"06/01/2026";"05/01/2026";"04/01/2027";"-11";"Sigiloso";"10260,0000";"10260,0000";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200372";"SUPERINTENDENCIA REGIONAL NO ESTADO DO RS";"10/01/2026";"30/01/2026";"10/01/2026";"31/12/2030";"-11";"Sigiloso";"512163,0000";"512163,0000";"-3";"";"";"";""
"000022026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200344";"SUPERINTENDENCIA REGIONAL NO ESTADO DE SE";"07/01/2026";"13/01/2026";"07/01/2026";"07/01/2027";"-11";"Sigiloso";"529633,5600";"529633,5600";"-3";"";"";"";""
"000092025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200344";"SUPERINTENDENCIA REGIONAL NO ESTADO DE SE";"18/12/2025";"27/01/2026";"18/12/2025";"18/12/2027";"-11";"Sigiloso";"184023,3600";"184023,3600";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200344";"SUPERINTENDENCIA REGIONAL NO ESTADO DE SE";"26/01/2026";"30/01/2026";"21/02/2026";"21/02/2027";"-11";"Sigiloso";"697211,6100";"697211,6100";"900012025";"";"";"";""
"000172025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200396";"SUPERINTENDENCIA REGIONAL NO ESTADO DA PB";"24/12/2025";"26/01/2026";"01/01/2026";"01/01/2027";"-11";"Sigiloso";"720424,8000";"720424,8000";"-3";"";"";"";""
"000182025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200396";"SUPERINTENDENCIA REGIONAL NO ESTADO DA PB";"24/12/2025";"26/01/2026";"01/01/2026";"01/01/2027";"-11";"Sigiloso";"235614,9600";"235614,9600";"-3";"";"";"";""
