"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200001";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"11000";"0,00"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200004";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"8200";"0,48"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200004";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"8200";"0,48"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200003";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"8200";"0,00"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200003";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"8200";"0,00"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200002";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"2800";"0,00"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200002";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"2800";"0,00"
"26201";"Colégio Pedro II";"155625";"COLEGIO PEDRO II - CAMPUS NITEROI";"000012023";"1556250500005202200001";"DESINSETIZAÇÃO , DESRATIZAÇÃO , DEDETIZAÇÃO";"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"11000";"0,00"
"52121";"Comando do Exército";"160199";"HOSPITAL MILITAR DE AREA DE RECIFE";"000012025";"1601990700025202500001";"ASSISTÊNCIA MÉDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DESAÚDE / CONVÊNIO";"ASSISTÊNCIA MÉDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DE SAÚDE / CONVÊNIO";"68550833";"0,01"
"52131";"Comando da Marinha";"751212";"BASE DE HIDROGRAFIA DA MARINHA EM NITEROI";"000012025";"7512120590015202400021";"CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO";"CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO";"180";"5,29"
"26403";"Instituto Federal de Educação, Ciência e T";"156623";"IFAM - CAMPUS IRANDUBA";"000012025";"1566230590001202500023";"MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO";"MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO - MANUTENÇÃO PREVENTIVA (MENSAL) - PARA ATENDER AS NECESSIDADES DO CAMPUS IRANDUBA.";"300";"70,00"
"22204";"Departamento Nacional de Obras Contra as Seca";"193003";"DNOCS CEST/CE - FORTALEZA-CE";"000012025";"1930030590001202500001";"ADMINISTRAÇÃO , GERENCIAMENTO-MANUTENÇÃO VEÍCULO AUTOMOTIVO";"ADMINISTRAÇÃO / GERENCIAMENTO-MANUTENÇÃO VEÍCULO AUTOMOTIVO";"1";"3108236,99"
"52131";"Comando da Marinha";"751212";"BASE DE HIDROGRAFIA DA MARINHA EM NITEROI";"000012025";"7512120590015202400002";"ASSINATURA DE DDR";"ASSINATURA DE DDR";"60";"259,34"
"26403";"Instituto Federal de Educação, Ciência e T";"156623";"IFAM - CAMPUS IRANDUBA";"000012025";"1566230590001202500028";"MANUTENÇÃO - PLANEJAMENTO DE SERVIÇOS";"ELABORAÇÃO DO PLANO DE MANUTENÇÃO, OPERAÇÃO E CONTROLE PMOC COM ART - PARA ATE NDER AS DEMANDAS DO CAMPUS IRANDUBA.";"1";"280,00"
"52131";"Comando da Marinha";"783330";"CAPITANIA DOS PORTOS DA PARAIBA";"000012025";"7833300700010202500001";"COMUNICAÇÃO POR CORREIO";"COMUNICAÇÃO POR CORREIO";"12";"208,00"
"52131";"Comando da Marinha";"751212";"BASE DE HIDROGRAFIA DA MARINHA EM NITEROI";"000012025";"7512120590015202400006";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"2460";"0,09"
"26403";"Instituto Federal de Educação, Ciência e T";"156623";"IFAM - CAMPUS IRANDUBA";"000012025";"1566230590001202500026";"INSTALAÇÃO E MONTAGEM DE SISTEMAS DE REFRIGERAÇÃO";"INSTALAÇÃO E MONTAGEM DE SISTEMAS DE REFRIGERAÇÃO - SERVIÇOS EVENTUAIS DE INST ALAÇÃO E DESINSTALAÇÃO - AR CONDICIONADO";"5";"450,00"
"26408";"Instituto Federal de Educação, Ciência e T";"158290";"IFMA/CAMPUS SANTA INES";"000012025";"1582900600017202500002";"FRUTA";"FRUTA";"246";"10,51"
"52131";"Comando da Marinha";"751212";"BASE DE HIDROGRAFIA DA MARINHA EM NITEROI";"000012025";"7512120590015202400023";"CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO";"CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO";"120";"5,29"
