"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"000622025";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"000012026";"11/03/2026";"Objetivo: REDUÇÃO DA JORNADA DE TRABALHO DE 44 HORAS PARA 40 HORAS SEMANAIS"
"000402025";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110096";"SUPERINTENDENCIA REG. DE ADMIN. DA 5ª REGIAO";"000012025";"05/01/2026";"Objetivo: ACRESCER O CONTRATO N. 0040/2025 EM 24,99% SOBRE O VALOR ORIGINAL CONTRATADO, FUNDAMENTADO NO INCISO I, DO ART. 124 DA LEI 14.133/2021, E ESTÃO DENTRO DOS LIMITES ESTABELECIDOS NO ART. 125 DA LEI 14.133/2021"
"000272025";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110792";"DIRETORIA DE LOGISTICA E GESTAO DOCUMENTAL";"000012026";"04/03/2026";"Objetivo: INCLUIR SUBITENS NA CLÁUSULA SEXTA - DAS CONDIÇÕES DE PAGAMENTO E RENUMERAR O ITEM 6.4.1 DA CLÁUSULA SEXTA - DAS CONDIÇÕES DE PAGAMENTO."
"000282025";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"110792";"DIRETORIA DE LOGISTICA E GESTAO DOCUMENTAL";"000012026";"04/03/2026";"Objetivo: INCLUIR SUBITENS NA CLÁUSULA SEXTA - DAS CONDIÇÕES DE PAGAMENTO E RENUMERAR O ITEM 6.4.1 DA CLÁUSULA SEXTA - DAS CONDIÇÕES DE PAGAMENTO."
"000192025";"47000";"Ministério do Planejamento e Orçamento";"61201";"Instituto de Pesquisa Econômica Aplicada";"113601";"INSTITUTO DE PESQUISA ECONOMICA APLICADA";"000012025";"13/01/2026";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO POR MAIS 12 [DOZE] MESES, A PARTIR DE 17/02/2026 ATÉ 17/02/2027, PODENDO SER PRORROGADO SUCESSIVAMENTE, RESPEITADA A VIGÊNCIA MÁXIMA DECENAL, NA FORMA DO ARTIGO 107 DA LEI Nº 14.133, DE 2021."
"000012026";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"114602";"SUPERINTENDENCIA ESTADUAL DO IBGE EM RONDONIA";"000012026";"19/01/2026";"Objetivo: ACRESCIMO EM CONFORMIDADE COM A CLÁUSULA CONTRATUAL"
"000012026";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"114602";"SUPERINTENDENCIA ESTADUAL DO IBGE EM RONDONIA";"000022026";"";"Objetivo: PROPROGAÇÃO POR VIGÊNCIA CONTRATUAL"
"000012026";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"114602";"SUPERINTENDENCIA ESTADUAL DO IBGE EM RONDONIA";"000032026";"";"Objetivo: PRORROGAÇÃO POR VIGÊNCIA CONTRATUAL"
"000132021";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120064";"ESCOLA DE ESPECIALISTAS DE AERONAUTICA";"000012022";"13/10/2022";"Objetivo: PRORROGAÇÃO DA VIGÊNCIA POR MAIS 12 MESES E REAJUSTE, DE ACORDO COM O IGP-M, DO VALOR CONTRATUAL, CUJO OBJETO É A ESTERILIZAÇÃO A GÁS POR ÓXIDO DE ETILENO, DE MATERIAIS MÉDICO-HOSPITALARES, PARA O GRUPO DE SAÚDE DE GUARATINGUETÁ - GSAU-GW."
"000132021";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120064";"ESCOLA DE ESPECIALISTAS DE AERONAUTICA";"000022023";"11/09/2023";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA POR MAIS 12 MESES SEM REAJUSTE DO VALOR, CONFORME PROPOSTA DA CONTRATADA, CUJO OBJETO É A ESTERILIZAÇÃO A GÁS POR ÓXIDO DE ETILENO DE MATERIAIS MÉDICO-HOSPITALARES PARA O GRUPO DE SAÚDE DE GUARATINGUETÁ (GSAU-GW)"
